unit,category,use,translation,item,subcategory,value,year,source,jason_notes
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1672.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1673.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1674.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1675.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1676.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1677.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1678.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1679.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1680.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1681.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1682.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1683.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1684.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1685.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1686.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1687.0,,
Stück (Piece),Meat,preserved (cured),dried mutton,Treüge Hammel,other,null,1688.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1640.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1642.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1643.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1644.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1645.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1646.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1647.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1648.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1649.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1650.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1651.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1652.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1653.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1654.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1655.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1656.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1657.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1658.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1659.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1660.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1661.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1662.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1663.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1664.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1665.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1666.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1667.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1668.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1669.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1670.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1671.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1672.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1673.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1674.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1675.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1676.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1677.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1678.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1679.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1680.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1681.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1682.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1683.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1684.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1685.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1686.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1687.0,,
Stück (Piece),Meat,preserved (cured),dried lamb,Treüge Lämmer,other,null,1688.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1640.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1642.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1643.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1647.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1648.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1649.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1650.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1651.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1652.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1653.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1654.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1655.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1656.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1657.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1658.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1660.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1661.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1662.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1665.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1666.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1667.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1669.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1671.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1672.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1673.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1674.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1675.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1676.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1677.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1678.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1679.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1680.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1681.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1682.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1683.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1684.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1685.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1686.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1687.0,,
Stück (Piece),Meat,preserved (cured),dried geese,Treüge Gänße,"Bird, fowl",null,1688.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1640.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1642.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1643.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1647.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1649.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1650.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1651.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1652.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1653.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1654.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1655.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1656.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1657.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1658.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1660.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1661.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1665.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1666.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1667.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1669.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1674.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1675.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1677.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1678.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1680.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1684.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1685.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1686.0,,
Stück (Piece),Meat,preserved (cured),bacon,Speck,pork,null,1688.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1640.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1642.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1643.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1644.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1647.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1648.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1649.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1650.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1651.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1652.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1653.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1654.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1655.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1656.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1657.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1658.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1660.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1661.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1662.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1663.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1664.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1665.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1666.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1667.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1668.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1669.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1670.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1671.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1672.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1673.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1674.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1675.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1676.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1677.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1678.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1679.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1680.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1681.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1682.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1683.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1684.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1685.0,,
Stück (Piece),Meat,preserved (cured),boar bacon,Wilder Speck,"pork, wild",null,1686.0,,
